title,listing_url,address,price,type,bedrooms,bathrooms,floor_area,telephone,latitude,longitude
Villa for Sale in BuQuwah (Saraya 2),https://www.propertyfinder.bh/en/buy/villa-for-sale-northern-governorate-bu-quwah-saraya-2-328862.html," Saraya 2, Bu Quwah, Northern Governorate","125,000 BHD",Villa,4,5,156 / sqm,N/A,N/A,N/A
Brand New  City View + 3 Balconies 450 Net Income,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-al-juffair-334205.html," Al Juffair, Capital Governorate","63,000 BHD",Apartment,2,2,111 / sqm,N/A,N/A,N/A
Brand new apartment with maid's & laundry room,https://www.propertyfinder.bh/en/buy/apartment-for-sale-southern-governorate-riffa-west-riffa-333478.html," West Riffa, Riffa, Southern Governorate","73,000 BHD",Apartment,3,3,150 / sqm,+97332022208,26.123153,50.541937
Urgent Sale at Cost Price on the Corner.,https://www.propertyfinder.bh/en/buy/apartment-for-sale-muharraq-governorate-diyar-al-muharraq-marassi-boulevard-333434.html," Marassi Boulevard, Diyar Al Muharraq, Muharraq Governorate","58,500 BHD",Apartment,1,1,56 / sqm,+97338335557,26.303447,50.646128
Best Deal! Pay 20% & own a spacious luxury Apt,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-reef-island-330410.html," Reef Island, Capital Governorate","135,600 BHD",Apartment,3,4,188 / sqm,+97333506000,26.241751,50.566394
"Hurry up , the last studio at this price !",https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-al-juffair-329236.html," Al Juffair, Capital Governorate","30,000 BHD",Apartment,studio,1,40 / sqm,+97333440279,26.211111,50.601111
For sale villa special area in Janabiya,https://www.propertyfinder.bh/en/buy/villa-for-sale-northern-governorate-janabiya-328507.html," Janabiya, Northern Governorate","135,000 BHD",Villa,4,4,241 / sqm,+97333944584,26.185943,50.467114
FF Studio Apartment For Sale In Juffair,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-al-juffair-304152.html," Al Juffair, Capital Governorate","32,500 BHD",Apartment,studio,1,37 / sqm,+97333400185,26.211111,50.601111
Burj Kadi - Obtain Permanent Residence Permit,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-al-juffair-308057.html," Al Juffair, Capital Governorate","47,000 BHD",Apartment,1,2,67 / sqm,+97336295050,26.211111,50.601111
Sky and Luxury 3 Bedrooms+Maid Signature,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-bahrain-bay-314161.html," Bahrain Bay, Capital Governorate","223,000 BHD",Apartment,3,5,223 / sqm,+97366720802,26.249585,50.580361
Brand New 2 Bedroom Freehold Flat Near Seef,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-manama-sanabis-291530.html," Sanabis, Manama, Capital Governorate","58,000 BHD",Apartment,2,3,111 / sqm,+97339602096,26.226559,50.54591
