name,category,details_url,rating_stars,address,opening_status,corona_status,email,phone,website,book_a_table
Buchmann & Berger Treuhand AG,"Audit firm, Real Estate",https://www.local.ch/en/d/buchs-sg/9470/audit-firm/buchmann-berger-treuhand-ag-8chOEopnCjhZ_0zrovWi7g?dwhere=Switzerland,5.0,"Oberstüdtlistrasse 7, 9470 Buchs SG",Open now until 17:00,Despite the Corona crisis there for you!,info.bbtag@rsnweb.ch,081 756 18 17,http://www.bbtag-buchs.ch,
Die Liegenschaftsverwalter AG,"Property management, Renting, Real estate brokers and agencies, Real Estate, Real estate agent, Administrative company administrative office",https://www.local.ch/en/d/luzern/6006/property-management/die-liegenschaftsverwalter-ag-6fsUAlILxP2SMnis9Zg2mg?dwhere=Switzerland,5.0,"Maihofstrasse 69, 6006 Luzern",Open now until 17:00,Despite the Corona crisis there for you!,info@liegenschaftsverwalter.ch,041 240 20 76,http://liegenschaftsverwalter.ch,
DT Concept SA,"Architectural firm, Construction supervision, Real Estate, Planning, Architectural design",https://www.local.ch/en/d/fenil-sur-corsier/1809/architectural-firm/dt-concept-sa-WEmKHQ1zs4WsqmV6bsverQ?dwhere=Switzerland,5.0,"Route de Fenil 68, 1809 Fenil-sur-Corsier",Open now until 17:30,Despite the Corona crisis there for you!,info@d-t-concept.ch,021 943 70 00,http://www.d-t-concept.ch,
Frunz Bauunternehmung AG,"Construction company, Real Estate, Clearance of harmful substances, Asbestos, Remodelling",https://www.local.ch/en/d/nussbaumen-ag/5415/construction-company/frunz-bauunternehmung-ag-knjk3n-xXaR_JF1ouE7eAQ?dwhere=Switzerland,3.9,"Landstrasse 170, 5415 Nussbaumen AG",Open now until 17:00,Despite the Corona crisis there for you!,info@frunzag.ch,056 282 35 68,http://www.frunzag.ch,
Frutiger AG,"Construction company, Construction and civil engineering, Real Estate, Road construction enterprises",https://www.local.ch/en/d/thun/3600/construction-company/frutiger-ag-C5JFbMaQpvjp1abCC12VdA?dwhere=Switzerland,4.6,"Frutigenstrasse 37, 3600 Thun",,Despite the Corona crisis there for you!,info@frutiger.com,058 226 88 88,http://www.frutiger.com,
Arnold Katja Malergeschäft,"Painting, Building and property management, Plasterer, Renovations, Facades, Wallpaper, Decorating business",https://www.local.ch/en/d/zuerich/8006/painting/arnold-katja-malergeschaeft-uK2f_x8iBvmuTTCWpVrOWw?dwhere=Switzerland,5.0,"Winkelriedstrasse 13, 8006 Zürich",Open now until 17:00,Despite the Corona crisis there for you!,info@maler-arnold.ch,044 350 30 30,http://www.malerarnold-zuerich.ch,https://www.malerarnold-zuerich.ch/kontakt
de Pretto Maler GmbH,"Painting, Plasterer, Facades, Decorating business, Insulation, Scaffolding",https://www.local.ch/en/d/jonen/8916/painting/de-pretto-maler-gmbh-AeOzfQdwDVrNAb2CnNGvqA?dwhere=Switzerland,5.0,"Luegetehof, 8916 Jonen",Open now until 17:30,Despite the Corona crisis there for you!,de_pretto@bluewin.ch,056 640 25 77,http://www.depretto-maler.ch,https://www.depretto-maler.ch/kontakt
G. Cappellano Sàrl,"Painting, Plasterer, Interior decor",https://www.local.ch/en/d/thonex/1226/painting/g-cappellano-sarl-XswDv3P-zbq0sDAtkemceQ?dwhere=Switzerland,,"Route de Jussy 12, 1226 Thônex",Open now until 18:00,Despite the Corona crisis there for you!,info@cappellano.ch,022 349 68 59,http://www.cappellano.ch,https://cappellano.ch/contact
Höhn AG Malerunternehmen,"Painting, Plasterer",https://www.local.ch/en/d/birmensdorf-zh/8903/painting/hoehn-ag-malerunternehmen-dSHj8UIgtoPh4-LzFX8Qxg?dwhere=Switzerland,,"Stallikonerstrasse 52, 8903 Birmensdorf ZH",Open now until 18:00,Despite the Corona crisis there for you!,info@maler-hoehn.ch,044 730 07 44,http://www.maler-hoehn.ch,https://booking.localsearch.ch/bookings/hohn-ag-malerunternehmen/services?locale=de-CH&origin=standalone
Locher Thomas,Painting,https://www.local.ch/en/d/gasel/3144/painting/locher-thomas-mAuqzn80WLpHqTXKKvZqHA?dwhere=Switzerland,,"Krummeneggweg 5, 3144 Gasel",,Despite the Corona crisis there for you!,tlocher@bluewin.ch,031 849 09 37,https://www.malereilocher.ch,https://www.malereilocher.ch/kontakt-maler-bern
Maleratelier Cornut,"Painting, Decorating business",https://www.local.ch/en/d/davos-platz/7270/painting/maleratelier-cornut-xKVr5P74hwCVLpYhQ_iOzA?dwhere=Switzerland,,"Mattastrasse 2, 7270 Davos Platz",Open now until 17:30,Despite the Corona crisis there for you!,info@maler-cornut.ch,081 413 77 71,http://www.maler-cornut.ch,https://maler-cornut.ch/kontakt-2
Malerei Wülser & Partner GmbH,"Painting, Structural biology",https://www.local.ch/en/d/winterthur/8405/painting/malerei-wuelser-partner-gmbh-ZSunhPHkp5CQnENuK5q8lg?dwhere=Switzerland,5.0,"Im Hölderli 26, 8405 Winterthur",,Despite the Corona crisis there for you!,info@malerei-wuelser.ch,052 223 13 23,http://www.malerei-wuelser.ch,http://malerei-wuelser.ch/index.php/contact-us
Malergeschäft Kurt Dolf,"Painting, Decorating business",https://www.local.ch/en/d/sils-im-domleschg/7411/painting/malergeschaeft-kurt-dolf-T3yPZsAV1-c0vP4s2Q5u_A?dwhere=Switzerland,4.3,"Oberdorf 86, 7411 Sils im Domleschg",Open now until 17:00,Despite the Corona crisis there for you!,,081 651 47 59,https://www.malerdolf.ch,
Pepi Adank GmbH,"Painting, Plasterer, Facades, Wallpaper, Renovations",https://www.local.ch/en/d/davos-dorf/7260/painting/pepi-adank-gmbh-9OP0JfDJnPLcvKvss-INFg?dwhere=Switzerland,5.0,"Spinnelenweg 1A, 7260 Davos Dorf",Open now until 17:00,Despite the Corona crisis there for you!,pepiadank@bluewin.ch,079 445 48 05,http://www.pepi-adank.ch,
Renovation-Bern AG,"Painting, Plasterer, Graffiti, Floor coverings wall coverings, Parquet, Cleaning company, Refurbishment",https://www.local.ch/en/d/bern/3008/painting/renovation-bern-ag-21vH3rojxgNJ3DEEWpuLMQ?dwhere=Switzerland,4.8,"Güterstrasse 50a, 3008 Bern",Open now until 17:00,Despite the Corona crisis there for you!,info@renobern.ch,031 971 88 66,http://www.renobern.ch,
Canvetto Federale,"Restaurant, Italian cuisine, Restaurants according to speciality",https://www.local.ch/en/d/canobbio/6952/restaurant/canvetto-federale-joNNR3FdC8VG2u11RTfbSQ?dwhere=Switzerland,4.7,"Via Circonvallazione 1, 6952 Canobbio",Closing soon: 14:30,Despite the Corona crisis there for you!,,091 941 25 52,http://www.canvettofederale.ch,http://www.canvettofederale.ch/node/11
Restaurant Alten Löwen,"Restaurant, Swiss cuisine, Restaurants according to speciality, Italian cuisine, Midday table",https://www.local.ch/en/d/zuerich/8006/restaurant/restaurant-alten-loewen-c7cMiFxw1uc9_3UnmxjYrw?dwhere=Switzerland,4.3,"Universitätstrasse 111, 8006 Zürich",Open now until 23:30,Despite the Corona crisis there for you!,info@altenloewen.ch,043 343 11 69,http://www.altenloewen.ch,https://altenloewen.ch/reservation
Café Restaurant Treff,"Cafés, Restaurant, Pizzeria, Sushi",https://www.local.ch/en/d/bern/3011/cafes/cafe-restaurant-treff-V8QzvqJ5achho8m4SaC5zw?dwhere=Switzerland,4.0,"Gerechtigkeitsgasse 12, 3011 Bern",Open now until 23:00,Despite the Corona crisis there for you!,team@treffbern.ch,031 311 02 85,http://www.treffbern.ch,
Restaurant zum Grünen Glas,"Restaurant, Guild house",https://www.local.ch/en/d/zuerich/8001/restaurant/restaurant-zum-gruenen-glas-5ZtWvQUJfeYRyJIxI2e0Hg?dwhere=Switzerland,4.0,"Untere Zäune 15, 8001 Zürich",Currently closed,Despite the Corona crisis there for you!,,044 251 65 04,http://www.gruenesglas.ch,
Accademia Del Gusto,"Restaurant, Italian cuisine, Restaurants according to speciality",https://www.local.ch/en/d/zuerich/8004/restaurant/accademia-del-gusto-Z74C2bLqcnEf5-UoFzOR7g?dwhere=Switzerland,4.6,"Rotwandstrasse 48, 8004 Zürich",Open now until 15:00,Despite the Corona crisis there for you!,,044 241 42 02,http://accademiadelgusto.ch/,
Accademia della Pizza,"Restaurant, Pizzeria",https://www.local.ch/en/d/st-leonard/1958/restaurant/accademia-della-pizza-VLnK4MqBw_ptHDVn7wfZkg?dwhere=Switzerland,4.3,"Route du Simplon 85, 1958 St-Léonard",Open now until 00:00,Despite the Corona crisis there for you!,,027 203 28 68,http://www.accademia-dellapizza.ch,https://www.accademia-dellapizza.ch/contactez-nous#dm
Au Renfort de Sézegnin,"Restaurant, French cuisine, Restaurants according to speciality",https://www.local.ch/en/d/athenaz-avusy/1285/restaurant/au-renfort-de-sezegnin-JsZxFzJCUdqMtZ1gVi53pQ?dwhere=Switzerland,4.5,"Route du Creux-du-Loup 19, 1285 Athenaz (Avusy)",,Despite the Corona crisis there for you!,info@renfort.ch,022 756 12 36,http://www.renfort.ch,
Auberge communale,Restaurant,https://www.local.ch/en/d/luins/1184/restaurant/auberge-communale-k2zyNqYv53LHCRXeKJ6Hig?dwhere=Switzerland,4.3,"Route du Village 21, 1184 Luins",Open now until 15:00,Despite the Corona crisis there for you!,malakoffsluins@gmail.com,021 824 11 59,http://www.aubergedeluins.ch,
Auberge communale de Puidoux,"Restaurant, Hotel",https://www.local.ch/en/d/puidoux/1070/restaurant/auberge-communale-de-puidoux-IT3pnokdf0w7ZzQGM_Hqig?dwhere=Switzerland,4.7,"Route du Village 37, 1070 Puidoux",Open now until 23:00,Despite the Corona crisis there for you!,info@aubergedepuidoux.ch,021 946 18 02,http://www.aubergedepuidoux.ch,https://www.aubergedepuidoux.ch/hebergement.html
Auberge de L'Union,"Restaurant, Seminar",https://www.local.ch/en/d/st-prex/1162/restaurant/auberge-de-l-union-8AFRsLyhW-l9bI8U2q33gA?dwhere=Switzerland,4.4,"Rue du Pont-Levis 11, 1162 St-Prex",Currently closed,Despite the Corona crisis there for you!,auberge.union@bluewin.ch,021 626 36 76,http://www.auberge-union.ch,
City-Garage AG,"Garage, Tires tire service",https://www.local.ch/en/d/wettingen/5430/garage/city-garage-ag-c8ossHRCEEEDUGRdGyrMYw?dwhere=Switzerland,4.2,"Landstrasse 108, 5430 Wettingen",Open now until 18:30,Despite the Corona crisis there for you!,info@citywettingen.ch,056 437 20 70,http://www.citywettingen.ch,
AGEM Auto und Elektro AG,"Garage, Automotive electronics",https://www.local.ch/en/d/schlieren/8952/garage/agem-auto-und-elektro-ag-OOgyXrpA4u9snNnXWr_-_w?dwhere=Switzerland,4.8,"Wagistrasse 7, 8952 Schlieren",Open now until 17:30,Despite the Corona crisis there for you!,am.agem@bluewin.ch,044 730 20 47,http://www.agem-garage.ch,
Albrecht Rolf AG,"Car body work, Garage, Paint finishes, Auto body painting, Paintspraying works",https://www.local.ch/en/d/obfelden/8912/car-body-work/albrecht-rolf-ag-UHAzAYUYHsEckTySDnvK4g?dwhere=Switzerland,5.0,"Bachstrasse 33, 8912 Obfelden",Open now until 18:00,Despite the Corona crisis there for you!,service@carrosserie-albrecht.ch,044 761 78 55,http://www.carrosserie-albrecht.ch,http://www.carrosserie-albrecht.ch/kontakt.html
Allmend-Garage AG,Garage,https://www.local.ch/en/d/wohlen-ag/5610/garage/allmend-garage-ag-sPJpG8BE7JwpCFj9KmwWMA?dwhere=Switzerland,4.5,"Schützenmattweg 20, 5610 Wohlen AG",Open now until 18:30,Despite the Corona crisis there for you!,info@allmendgarage.ch,056 618 85 25,http://www.allmendgarage.ch,
AMAG Automobil- und Motoren AG,"Garage, Car dealership, Okasion, Emergency road assistance, Car accessoires car parts, Car body work, Utility vehicles",https://www.local.ch/en/d/bern/3014/garage/amag-automobil-und-motoren-ag-8qk1-CURglpn_nZujl_nnA?dwhere=Switzerland,3.5,"Wankdorffeldstrasse 60, 3014 Bern",Open now until 18:30,Despite the Corona crisis there for you!,,031 337 55 11,http://www.bern.amag.ch,https://plan.soft-nrg.com/group/DFR38ezGNa1sSKJ_4hamqexPr6iTU_bCgB9ECNM4i0BehopnexjGoQ/express
"Andermatt AG, Sihlsee-Garage","Garage, New and used cars",https://www.local.ch/en/d/gross/8841/garage/andermatt-ag-sihlsee-garage-mH7M_9XTuGls_NrTtrZIKA?dwhere=Switzerland,5.0,"Grosserstrasse 34, 8841 Gross",Open now until 17:30,Despite the Corona crisis there for you!,info@andermatt-ag.ch,055 418 92 92,http://www.andermatt-ag.ch,https://www.andermatt-ag.ch/service-anmeldung
Auto Furrer AG,"Garage, Car body work",https://www.local.ch/en/d/huenenberg/6331/garage/auto-furrer-ag-M9HbnkBWmtZOwfZNrgkTUg?dwhere=Switzerland,5.0,"Alter Hubelweg 3, 6331 Hünenberg",Open now until 18:00,Despite the Corona crisis there for you!,autofurrer@bluewin.ch,041 780 76 88,http://www.autofurrer.ch,https://autofurrer.ch/kontakt.php
Auto Garage Roth AG,"Garage, New and used cars",https://www.local.ch/en/d/gempenach/3215/garage/auto-garage-roth-ag-t__q1rQxzblrQhXlSfc3dw?dwhere=Switzerland,,"Hauptstrasse 41, 3215 Gempenach",Open now until 17:30,Despite the Corona crisis there for you!,info@garageroth.ch,031 751 09 20,http://www.garageroth.ch,
Auto Heuberger AG,"Garage, Car dealership, Okasion",https://www.local.ch/en/d/lachen-sz/8853/garage/auto-heuberger-ag-oR_wovvxLxGCxvvv_3W2Rw?dwhere=Switzerland,3.7,"Zürcherstrasse 24, 8853 Lachen SZ",Open now until 18:00,Despite the Corona crisis there for you!,info@auto-heuberger.ch,055 442 17 77,http://www.auto-heuberger.ch,
Auto Hotz AG,"Garage, Shop floor",https://www.local.ch/en/d/baar/6340/garage/auto-hotz-ag-uS5tV3ae-PGMIgk7KdyyIA?dwhere=Switzerland,5.0,"Mühlegasse 18, 6340 Baar",Open now until 18:00,Despite the Corona crisis there for you!,info@autohotzag.ch,041 763 00 66,http://www.autohotzag.ch,
Bernhard Hegi AG,"Electric installations, Telematics, Household appliances, Grill, Barbecue, Radio and television shop, Coffee machines",https://www.local.ch/en/d/wohlen-ag/5610/electric-installations/bernhard-hegi-ag-3ANVj5UqAixoegOUgpYK-A?dwhere=Switzerland,5.0,"Schützenmattweg 33, 5610 Wohlen AG",Open now until 18:00,Despite the Corona crisis there for you!,info@hegiag.ch,056 618 85 55,http://www.hegiag.ch,https://www.hegiag.ch/service-auftrag-erteilen
Canepa Cesi AG,"Electric installations, Telephone installation",https://www.local.ch/en/d/cham/6330/electric-installations/canepa-cesi-ag-Ymk8gfeO30JVaeMO9JMleg?dwhere=Switzerland,5.0,"Gewerbestrasse 9, 6330 Cham",Open now until 17:00,Despite the Corona crisis there for you!,info@canepa.ch,041 748 18 18,http://www.canepa.ch,https://www.canepa.ch/kontakt-2
Electro Wettstein SA,"Electric installations, Electrical Planning, Building automation, IT Networks Telematics services, Household appliances",https://www.local.ch/en/d/savognin/7460/electric-installations/electro-wettstein-sa-1l7Xp_6sKuj12459c02GMw?dwhere=Switzerland,5.0,"Veia Davos-Tga 5, 7460 Savognin",Open now until 17:30,Despite the Corona crisis there for you!,info@ewsa.ch,081 659 16 48,http://www.ewsa.ch,http://www.smarthomeready.ch/index.html#formbuilder-1z
Elektro Annen AG,"Telephone installation, Electric installations",https://www.local.ch/en/d/cham/6330/telephone-installation/elektro-annen-ag-qlW8kQRywwRxdMEKSoBPXA?dwhere=Switzerland,4.9,"Knonauerstrasse 56, 6330 Cham",Open now until 17:00,Despite the Corona crisis there for you!,,041 785 61 61,http://www.elektro-annen.ch,http://www.elektro-annen.ch/kontakt
Elektro Burkhalter AG,"Electric installations, IT - Information Technology",https://www.local.ch/en/d/bern/3027/electric-installations/elektro-burkhalter-ag-nZhBWw2_p4U1UCzIUXVXJQ?dwhere=Switzerland,5.0,"Eymattstrasse 7, 3027 Bern",,Despite the Corona crisis there for you!,bube.info@burkhalter.ch,031 996 33 33,http://www.burkhalter-bern.ch,
Elektro Christoffel AG,"Electric installations, Telephone installation, Telecommunications, IT Networks Telematics services, Alarm systems security systems",https://www.local.ch/en/d/uitikon-waldegg/8142/electric-installations/elektro-christoffel-ag-YBwWc08mNHzJ5rL_4EW7BQ?dwhere=Switzerland,,"Zürcherstrasse 4, 8142 Uitikon Waldegg",Open now until 17:00,Despite the Corona crisis there for you!,,044 493 13 13,http://www.elchag.ch,https://www.elchag.ch/kontakt
Kälin Elektro & Telematik AG,"Electric installations, Telephone installation",https://www.local.ch/en/d/adligenswil/6043/electric-installations/kaelin-elektro-telematik-ag-68uhkoDLoZwId_9j2Kb3Zg?dwhere=Switzerland,5.0,"Meggerstrasse 6, 6043 Adligenswil",Open now until 17:15,Despite the Corona crisis there for you!,mail@kaelin-elektro.ch,041 370 02 02,,
Lovino Elektro GmbH,"Electric installations, Telephone installation",https://www.local.ch/en/d/niederrohrdorf/5443/electric-installations/lovino-elektro-gmbh-TiCg3qnFV4E5O4v8Jpe3dg?dwhere=Switzerland,5.0,"Heitersbergstrasse 14, 5443 Niederrohrdorf",Open now until 18:00,Despite the Corona crisis there for you!,,056 450 27 27,http://www.lovinoelektro.ch,https://lovinoelektro.ch
Société électrique du Val-de-Travers SA,"Electric installations, Company, Household appliances",https://www.local.ch/en/d/couvet/2108/electric-installations/societe-electrique-du-val-de-travers-sa-hLz9VMaZI2DoKdDGWa_TqA?dwhere=Switzerland,4.9,"Le Preyel 9, 2108 Couvet",Open now until 17:30,Despite the Corona crisis there for you!,,032 863 12 24,http://www.sevt.ch,http://info@sevt.ch
Studer Elektro AG,"Electric installations, Telephone installation, Electrical Planning",https://www.local.ch/en/d/birmensdorf-zh/8903/electric-installations/studer-elektro-ag-72A3deTjH2JlNwdRA24aPA?dwhere=Switzerland,,"Zürcherstrasse 17, 8903 Birmensdorf ZH",Open now until 17:00,Despite the Corona crisis there for you!,,044 737 11 66,http://www.studerelektro.ch,http://info@studerelektro.ch
Bernhard Holzbau AG,"Wood construction, Carpentry, Carpenter, Kitchen cabinets, Saws",https://www.local.ch/en/d/davos-wiesen/7494/wood-construction/bernhard-holzbau-ag-5bpk33bWbPfRRovXR2rzdQ?dwhere=Switzerland,5.0,"Bahnhofstrasse 6, 7494 Davos Wiesen",Open now until 17:00,Despite the Corona crisis there for you!,info@bernhard-holzbau.ch,081 410 50 00,http://www.holzbernhard.ch,https://www.holzbernhard.ch/kontakt.html
chliholzig GmbH,"Carpenter, Interior improvements",https://www.local.ch/en/d/fehraltorf/8320/carpenter/chliholzig-gmbh-p5z4TJDz3qODGxwBYuFBhg?dwhere=Switzerland,5.0,"Weiherholzstrasse 52, 8320 Fehraltorf",,Despite the Corona crisis there for you!,info@chliholzig.ch,044 955 36 05,http://www.chliholzig.ch,https://www.chliholzig.ch/kontakt
Dannecker Schreinerei AG,"Carpenter, Interior improvements",https://www.local.ch/en/d/adliswil/8134/carpenter/dannecker-schreinerei-ag-qRxaNIU5I04LlD1vMtQXPQ?dwhere=Switzerland,,"Austrasse 19a, 8134 Adliswil",Open now until 17:00,Despite the Corona crisis there for you!,info@dannecker.ch,044 710 62 87,http://www.dannecker.ch,https://www.dannecker.ch/kontakt
Hirschi Urs,"Carpenter, Interior improvements, Window manufacturing, Kitchen cabinets, Fire protection",https://www.local.ch/en/d/adligenswil/6043/carpenter/hirschi-urs-Rj37V8H7h1I6arNHt_fJsA?dwhere=Switzerland,5.0,"Ebnetstrasse 5, 6043 Adligenswil",Open now until 17:15,Despite the Corona crisis there for you!,,041 370 49 17,http://www.hirschi-schreinerei.ch,http://www.hirschi-schreinerei.ch/hirschi_kontakt.htm
Hunziker Schreinerei,"Carpenter, Kitchen equipment",https://www.local.ch/en/d/adliswil/8134/carpenter/hunziker-schreinerei-fKX9p8t3fhfUUIwaqFap8g?dwhere=Switzerland,4.8,"Kilchbergstrasse 47, 8134 Adliswil",Open now until 17:00,Despite the Corona crisis there for you!,info@schreinereidesign.ch,043 377 20 30,http://www.schreinereidesign.ch,https://www.schreinereidesign.ch/kontakt
Maack AG,"Keys services, Locking systems, Carpenter, Emergency services, Glazier",https://www.local.ch/en/d/wohlenschwil/5512/keys-services/maack-ag-VFTT5oTGGGPzLCG4J7Ferw?dwhere=Switzerland,5.0,"Laubisbachstrasse 24, 5512 Wohlenschwil",Open now until 23:59,Despite the Corona crisis there for you!,info@maack.ch,,http://www.maack.ch,
Marcel Kummer AG,"Carpenter, Window manufacturing",https://www.local.ch/en/d/bitsch/3982/carpenter/marcel-kummer-ag-A1pcKUYfkhmwrCopxNBzMQ?dwhere=Switzerland,5.0,"Riederstrasse 2, 3982 Bitsch",Open now until 17:15,Despite the Corona crisis there for you!,info@marcelkummerag.ch,027 927 22 02,http://www.marcelkummerag.ch,https://www.marcelkummerag.ch/sites/kontakt/kontaktformular
Meili Hansruedi,"Kitchen cabinets, Carpenter, Glazier, Parquet, Interior improvements, Kitchen equipment, Renovations",https://www.local.ch/en/d/uerzlikon/8926/kitchen-cabinets/meili-hansruedi-gOFq24cDbMiQPomaNVf2vA?dwhere=Switzerland,5.0,"Baarerstrasse 6A, 8926 Uerzlikon",Open now until 17:15,Despite the Corona crisis there for you!,schreinerei-meili@bluewin.ch,044 764 03 57,http://www.schreinerei-meili.ch,https://www.schreinerei-meili.ch/kontakt
