title,price,floor_area,location,agency,image_url
Am Modenapark Bauteil C2,Preis+auf+Anfrage,106 m²,"1030 Wien, 03. Bezirk, Landstraße",JP Immobilien,https://cache.willhaben.at/mmo/3/247/348/003_726725946_hoved.jpg
Wiener Chic - Lebensart und Eleganz,279000,218 m²,"1030 Wien, 03. Bezirk, Landstraße",IMMO.CONSULT-ZEHNZEHN GmbH,https://cache.willhaben.at/mmo/7/350/278/237_1034743067_hoved.jpg
TraumWohnung im Herzen von Wien!,289500,54 m²,"1030 Wien, 03. Bezirk, Landstraße",IMMOSKY Skylead Real GmbH - Wien,https://cache.willhaben.at/mmo/1/380/384/391_-1758856321_hoved.jpg
WOHNTRAUM | SONNIGE 2-ZIMMERWOHNUNG MIT LOGGIA UND WEITBLICK,309500,44 m²,"1030 Wien, 03. Bezirk, Landstraße",Mister Immo GmbH,https://cache.willhaben.at/mmo/6/380/382/446_1559163014_hoved.jpg
Perfekte Stadtwohnung im Dritten,549000,73 m²,"1030 Wien, 03. Bezirk, Landstraße",IMMO.CONSULT-ZEHNZEHN GmbH,https://cache.willhaben.at/mmo/2/354/499/992_-1936811305_hoved.jpg
Charmante 3-Zimmer-Altbauwohnung mit Balkon,399000,98 m²,"1030 Wien, 03. Bezirk, Landstraße",BONREAL Immobilienvermittlung GmbH,https://cache.willhaben.at/mmo/4/350/258/514_-1241451604_hoved.jpg
PREISREDUKTION - ERSTBEZUG DIREKT VOM BAUTRÄGER OHNE PROVISION - DACHGARTEN IM 1 STOCK,1149000,56 m²,"1030 Wien, 03. Bezirk, Landstraße",Siebendörfer Immobilien GmbH,https://cache.willhaben.at/mmo/5/380/360/615_-1881547835_hoved.jpg
Sonnige Dachgeschosswohnung im Botschaftsviertel,824660,151 m²,"1030 Wien, 03. Bezirk, Landstraße",EHL Immobilien GmbH,https://cache.willhaben.at/mmo/3/361/783/573_-881269547_hoved.jpg
Wohnen mit Ausblick - im TrIIIple,299000,101 m²,"1030 Wien, 03. Bezirk, Landstraße",IVV Verkauf und Vermietungs GmbH,https://cache.willhaben.at/mmo/5/294/354/685_-1456869972_hoved.jpg
YES - 10 Minuten zum Stephansplatz - 2-Zimmer Altbauwohnung,465000,66 m²,"1030 Wien, 03. Bezirk, Landstraße",YES Immobilien GmbH,https://cache.willhaben.at/mmo/9/355/890/139_1956243218_hoved.jpg
Altbauwohnung im Botschaftsviertel,1538000,80 m²,"1030 Wien, 03. Bezirk, Landstraße",,https://cache.willhaben.at/mmo/7/375/195/377_832428764_hoved.jpg
Am Modenapark Bauteil C2,1693000,130 m²,"1030 Wien, 03. Bezirk, Landstraße",JP Immobilien,https://cache.willhaben.at/mmo/9/251/915/599_726725946_hoved.jpg
LAENDYARD - Stiege 2 - Wunderschöne 2 Zimmerwohnung mit Balkon,275000,40 m²,"1030 Wien, 03. Bezirk, Landstraße",JP Immobilien,https://cache.willhaben.at/mmo/5/380/321/245_-1082660705_hoved.jpg
EXKLUSIVES PENTHOUSE NÄHE ARENBERGPARK,1498000,197 m²,"1030 Wien, 03. Bezirk, Landstraße",Alon Immobilien GmbH,https://cache.willhaben.at/mmo/0/338/631/530_1769404337_hoved.jpg
WOHNEN IM GOLDENEN QUARTIER,1798000,73 m²,"1010 Wien, 01. Bezirk, Innere Stadt",OTTO IMMOBILIEN GRUPPE,https://cache.willhaben.at/mmo/9/334/355/509_-1631592316_hoved.jpg
Nähe Börseplatz: Charakterwohnung mit Loggia,3050000,152 m²,"1010 Wien, 01. Bezirk, Innere Stadt","Engel & Völkers Wien, EuV Immobilien GmbH",https://cache.willhaben.at/mmo/8/356/104/868_1755047149_hoved.jpg
Penthouse in der Nähe der Oper mit Blick auf den Stephansdom,984000,220 m²,"1010 Wien, 01. Bezirk, Innere Stadt",Von Poll Immobilien Wien,https://cache.willhaben.at/mmo/7/356/101/627_-947724528_hoved.jpg
Anlegertraum in exzellenter Lage / Investor appartment in top location,984000,82 m²,"1010 Wien, 01. Bezirk, Innere Stadt",Immo-Company Haas & Urban Immobilien GmbH,https://cache.willhaben.at/mmo/6/380/579/476_441899374_hoved.jpg
Investor für Altbaujuwel gesucht,1740000,80 m²,"1010 Wien, 01. Bezirk, Innere Stadt",Golden Home Real LTD & CoKG,https://cache.willhaben.at/mmo/6/380/553/406_462809618_hoved.jpg
Altbau-Chic trifft eleganten Wohnkomfort,2403000,120 m²,"1010 Wien, 01. Bezirk, Innere Stadt",Marschall Immobilien GmbH,https://cache.willhaben.at/mmo/9/314/867/879_-1248205253_hoved.jpg
** APPARTEMENT IM HOTEL MARRIOTT ** ERSTBEZUG *** COBURG-BLICK ***,3400000,127 m²,"1010 Wien, 01. Bezirk, Innere Stadt",TREND Immobilien,https://cache.willhaben.at/mmo/2/302/406/662_747238368_hoved.jpg
Sensationelle elegante Altbauwohnung,4486000,170 m²,"1010 Wien, 01. Bezirk, Innere Stadt",THOMAS Immobilientreuhand GmbH,https://cache.willhaben.at/mmo/8/302/318/248_-2059471587_hoved.jpg
Private Residenz in imperialem Prachtbau,5394000,224 m²,"1010 Wien, 01. Bezirk, Innere Stadt","Engel & Völkers Wien, EuV Immobilien GmbH",https://cache.willhaben.at/mmo/8/355/882/218_-973991324_hoved.jpg
Extravaganter Stadtblick und exklusive Toplage,7687000,210 m²,"1010 Wien, 01. Bezirk, Innere Stadt","Engel & Völkers Wien, EuV Immobilien GmbH",https://cache.willhaben.at/mmo/4/355/882/134_-1533866140_hoved.jpg
Imperiale Residenz in Prestige-Lage,15000000,383 m²,"1010 Wien, 01. Bezirk, Innere Stadt","Engel & Völkers Wien, EuV Immobilien GmbH",https://cache.willhaben.at/mmo/9/355/882/139_349835796_hoved.jpg
Imperiales Palais: Prunkvoll Leben auf 750 qm,10420000,750 m²,"1010 Wien, 01. Bezirk, Innere Stadt","Engel & Völkers Wien, EuV Immobilien GmbH",https://cache.willhaben.at/mmo/9/355/882/179_-2085088638_hoved.jpg
Außergewöhnlich Leben im Palais auf 512 qm,10000000,512 m²,"1010 Wien, 01. Bezirk, Innere Stadt","Engel & Völkers Wien, EuV Immobilien GmbH",https://cache.willhaben.at/mmo/4/355/882/064_1488066540_hoved.jpg
FIRST CLASS LIVING | BREATHTAKING PENTHOUSE WITH HOTEL-SERVICE,Preis+auf+Anfrage,286 m²,"1010 Wien, 01. Bezirk, Innere Stadt",Mister Immo GmbH,https://cache.willhaben.at/mmo/6/380/159/856_294118649_hoved.jpg
Kontemporärer Lebensstil im Palais der belle Époque,Preis+auf+Anfrage,264 m²,"1010 Wien, 01. Bezirk, Innere Stadt",Akkadia Immobilienvermittlungs GmbH,https://cache.willhaben.at/mmo/1/338/497/061_1259663525_hoved.jpg
NEU - Luxus und Atmosphäre am Park,Preis+auf+Anfrage,214 m²,"1010 Wien, 01. Bezirk, Innere Stadt",NOVEL REAL,https://cache.willhaben.at/mmo/3/361/575/553_-328994037_hoved.jpg
NEU - Luxuriöser Wohntraum am Park,Preis+auf+Anfrage,262 m²,"1010 Wien, 01. Bezirk, Innere Stadt",NOVEL REAL,https://cache.willhaben.at/mmo/6/361/575/556_-299700702_hoved.jpg
NEU - Exquisites Wohnen am Park,2375000,286 m²,"1010 Wien, 01. Bezirk, Innere Stadt",NOVEL REAL,https://cache.willhaben.at/mmo/8/361/574/898_-1542591448_hoved.jpg
Stilvolle Altbauwohnung mit Balkon und hauseigenem Fitness Club,3590000,143 m²,"1010 Wien, 01. Bezirk, Innere Stadt",Marschall Immobilien GmbH,https://cache.willhaben.at/mmo/5/271/551/675_-1842680785_hoved.jpg
Exklusiv und Niveauvoll erwachen im Herzen Wiens nähe Parkring - Stadtpark *Innere Stadt*,569000.17,189 m²,"1010 Wien, 01. Bezirk, Innere Stadt",Reales EBV Entwicklung Beratung Vermittlung GmbH,https://cache.willhaben.at/mmo/9/355/676/969_-1683693010_hoved.jpg
"WIEN: 1. Bezirk: ** TOP 2,5 Zimmer Wohnung- Ruhig und Zentral",1299000,65 m²,"1010 Wien, 01. Bezirk, Innere Stadt",wohnraumwerk Bauträger & Projektentwicklungs GmbH,https://cache.willhaben.at/mmo/3/355/669/923_-344985946_hoved.jpg
Stilvolle 3-Zimmer-Erstbezugseigentumswohnung Nähe Stephansplatz,996000,82 m²,"1010 Wien, 01. Bezirk, Innere Stadt",LIFESTYLE PROPERTIES,https://cache.willhaben.at/mmo/7/285/316/627_-2001800734_hoved.jpg
SONNIGES PIED-À-TERRE: AUSWÄNDIGST ADAPTIERTES UND GESCHMAKVOLL MÖBLIERTES ALTBAU-APPARTEMENT,2500000,83 m²,"1010 Wien, 01. Bezirk, Innere Stadt",RealGoodLiving Real Estate Services GmbH,https://cache.willhaben.at/mmo/7/255/229/027_-190710578_hoved.jpg
4 Zimmer Wohnung mit Blick auf Wiens Wahrzeichen NR 1,6990000,170 m²,"1010 Wien, 01. Bezirk, Innere Stadt",REALTA Immobilien B&Co GmbH,https://cache.willhaben.at/mmo/4/267/402/694_1337714359_hoved.jpg
Entzückende 2 Zimmer Wohnung - 360°- 3D Video Besichtigung,699000,49 m²,"1020 Wien, 02. Bezirk, Leopoldstadt",Real Immobilien.wien,https://cache.willhaben.at/mmo/6/380/589/506_1570173207_hoved.jpg
++ 10% PROVISIONSRABATT ++ Großartige 4-Zimmer DG-Maisonette! tolle Dachterrasse mit tollem WEITBLICK! ++ VIDEOBESICHTIGUNG++,799000,120 m²,"1020 Wien, 02. Bezirk, Leopoldstadt",Adonia Immobilien GmbH,https://cache.willhaben.at/mmo/6/380/572/186_1735583508_hoved.jpg
++10% PROVISIONSRABATT++ Hochwertige 4-Zimmer DG-Maisonette! mit 3 Terrassen und tollem WEITBLICK! **VIDEOBESICHTIGUNG**,849000,133 m²,"1020 Wien, 02. Bezirk, Leopoldstadt",Adonia Immobilien GmbH,https://cache.willhaben.at/mmo/8/380/569/828_576971844_hoved.jpg
"++ 10% PROVISIONSRABATT ++ Großartige 3-Zimmer DG-Maisonette! mit Terrasse und Dachterrasse, WEITBLICK über den Augarten!",300000,135 m²,"1020 Wien, 02. Bezirk, Leopoldstadt",Adonia Immobilien GmbH,https://cache.willhaben.at/mmo/2/380/565/532_721480106_hoved.jpg
2-Zimmer-Wohnung in 1020 Wien von PRIVAT an PRIVAT zu verkaufen,630000,59 m²,"1020 Wien, 02. Bezirk, Leopoldstadt",,https://cache.willhaben.at/mmo/1/362/832/511_-424092571_hoved.jpg
Anders als die Anderen! (Provisionsfrei),396050,92 m²,"1020 Wien, 02. Bezirk, Leopoldstadt",,https://cache.willhaben.at/mmo/2/379/482/182_1744752638_hoved.jpg
APARTE Single-oder Pärchenwohnung beim Augarten,479000,44 m²,"1020 Wien, 02. Bezirk, Leopoldstadt",RIWOG Real Estate Management GmbH,https://cache.willhaben.at/mmo/2/367/922/802_1995563990_hoved.jpg
"+ NEU+ DONAUWALZER AM DACH! -79,38M2-ERSTBEZUG-DACHGESCHOSSMAISONETTEWOHNUNG PLUS BALKON/ TERRASSE UND DONAUBLICK, NAHE U2 Donaumarina, 1020 WIEN",569000,79 m²,"1020 Wien, 02. Bezirk, Leopoldstadt",Dr. Vospernik Immobilien,https://cache.willhaben.at/mmo/9/374/550/809_-890378921_hoved.jpg
"++ Augartennähe++ 4-Zimmer Altbauwohnung, wunderschöner Stilaltbau! sehr gute Lage!",569000.69,104 m²,"1020 Wien, 02. Bezirk, Leopoldstadt",Adonia Immobilien GmbH,https://cache.willhaben.at/mmo/2/380/495/012_-1362498962_hoved.jpg
**PURE ÄSTHETIK VEREINT MIT MODERNEM DESIGN - EXZELLENT SANIERTE 4 ZIMMER WOHNUNG**,449900,98 m²,"1020 Wien, 02. Bezirk, Leopoldstadt",teamneunzehn.at Immobilienmanagement GmbH & Co KG,https://cache.willhaben.at/mmo/8/380/447/148_527819438_hoved.jpg
"+ HERRLICH+ DONAUWALZER AM DACH! -75,57-ERSTBEZUG-DACHGESCHOSSMAISONETTEWOHNUNG PLUS BALKON/ TERRASSE UND DONAUBLICK, NAHE U2 Donaumarina, 1020 WIEN",395000,75 m²,"1020 Wien, 02. Bezirk, Leopoldstadt",Dr. Vospernik Immobilien,https://cache.willhaben.at/mmo/8/380/444/698_525921587_hoved.jpg
++ WOHNJUWEL++ lichtdurchflutete Altbauwohnung im Herzen von Wien,789000,77 m²,"1020 Wien, 02. Bezirk, Leopoldstadt",RIWOG Real Estate Management GmbH,https://cache.willhaben.at/mmo/2/380/338/422_-1731925687_hoved.jpg
HELLE 4-ZIMMERWOHNUNG MIT WEITBLICK ÜBER DEN 1. BEZIRK,330000,90 m²,"1020 Wien, 02. Bezirk, Leopoldstadt",Mister Immo GmbH,https://cache.willhaben.at/mmo/2/380/419/472_-642849992_hoved.jpg
Schöne Wohnung mit Loggia in Augartennähe!,1139000,60 m²,"1020 Wien, 02. Bezirk, Leopoldstadt",Mag. Andrea Jäger,https://cache.willhaben.at/mmo/7/380/418/647_1296626069_hoved.jpg
JETZT BESICHTIGEN: SICHER UND KONTAKTLOS! - Dachtraum mit fantastischen Freiflächen Nähe Augarten,525000,132 m²,"1020 Wien, 02. Bezirk, Leopoldstadt",IVV Verkauf und Vermietungs GmbH,https://cache.willhaben.at/mmo/2/330/795/902_1987306656_hoved.jpg
"Citynahes Wohnen zwischen Prater, Messe und Donau",886000,77 m²,"1020 Wien, 02. Bezirk, Leopoldstadt",CBRE GmbH,https://cache.willhaben.at/mmo/0/373/686/070_-544084963_hoved.jpg
"Citynahes Wohnen zwischen Prater, Messe und Donau",948000,127 m²,"1020 Wien, 02. Bezirk, Leopoldstadt",CBRE GmbH,https://cache.willhaben.at/mmo/4/373/686/074_-544084963_hoved.jpg
"Citynahes Wohnen zwischen Prater, Messe und Donau",220000,137 m²,"1020 Wien, 02. Bezirk, Leopoldstadt",CBRE GmbH,https://cache.willhaben.at/mmo/7/373/686/077_-544084963_hoved.jpg
"VERMIETETES, HOFSEITIGES & MODERNISIERTES ALTBAUAPARTMENT ( BJ 1927 )",749000,43 m²,"1020 Wien, 02. Bezirk, Leopoldstadt",Stanzel & Co Wohnungs- u Geschäftsvermittlung GmbH,https://cache.willhaben.at/mmo/6/350/215/746_1643765855_hoved.jpg
MODERNES WOHNEN & IDYLLISCHE NATUR - DIREKT NEBEN DEM AUGARTEN,759000,88 m²,"1020 Wien, 02. Bezirk, Leopoldstadt",eb Immobilienvermittlungs GmbH & Co KG,https://cache.willhaben.at/mmo/1/373/601/591_1425273187_hoved.jpg
MODERNES WOHNEN & IDYLLISCHE NATUR - DIREKT NEBEN DEM AUGARTEN,959000,94 m²,"1020 Wien, 02. Bezirk, Leopoldstadt",eb Immobilienvermittlungs GmbH & Co KG,https://cache.willhaben.at/mmo/0/373/601/600_1220538060_hoved.jpg
MODERNES WOHNEN & IDYLLISCHE NATUR - DIREKT NEBEN DEM AUGARTEN,2698000,118 m²,"1020 Wien, 02. Bezirk, Leopoldstadt",eb Immobilienvermittlungs GmbH & Co KG,https://cache.willhaben.at/mmo/7/373/601/607_530769289_hoved.jpg
Wohnungspaket,249000,563 m²,"1020 Wien, 02. Bezirk, Leopoldstadt",IMMO-CONTRACT Wien,https://cache.willhaben.at/mmo/0/350/168/070_-349046482_hoved.jpg
Terrassenwohnung Nähe Augarten!,450000,50 m²,"1020 Wien, 02. Bezirk, Leopoldstadt",OTTO IMMOBILIEN GRUPPE,https://cache.willhaben.at/mmo/0/380/222/240_-1695945357_hoved.jpg
Luxus Dachterrassenwohnung im Palais mit unverbautem Traumblick (Erstbezug),1490000,112 m²,"1040 Wien, 04. Bezirk, Wieden",B2C Team Realtrade Immobilien Vermittlungs GmbH,https://cache.willhaben.at/mmo/6/380/557/276_-1577521935_hoved.jpg
ERSTBEZUG 5-Zimmer Wohnung mit 2 Terrassen in modernem Gartenpalais zu verkaufen! VIDEO Besichtigung möglich!,798000,192 m²,"1040 Wien, 04. Bezirk, Wieden",Moritz Immobilientreuhand GmbH,https://cache.willhaben.at/mmo/7/373/886/157_-211296372_hoved.jpg
DG-Wohnung in saniertem Altbau mit 3 Terrassen,416500,144 m²,"1040 Wien, 04. Bezirk, Wieden",SMP Immobilientreuhand,https://cache.willhaben.at/mmo/7/315/251/117_1090384001_hoved.jpg
Exklusive topsanierte Altbauwohnung in revitalisiertem Biedermeierhaus,1349000,62 m²,"1040 Wien, 04. Bezirk, Wieden",Galerie Immobilien GmbH,https://cache.willhaben.at/mmo/8/380/447/138_-1381566776_hoved.jpg
EXKLUSIVES WOHNJUWEL IN RUHIGER LAGE,449000,270 m²,"1040 Wien, 04. Bezirk, Wieden",IVV Verkauf und Vermietungs GmbH,https://cache.willhaben.at/mmo/6/303/511/336_1830677227_hoved.jpg
** 3-ZIMMERWOHNUNG IM HERZEN DES DIPLOMATENVIERTELS **,599000,81 m²,"1040 Wien, 04. Bezirk, Wieden",Mister Immo GmbH,https://cache.willhaben.at/mmo/2/380/382/452_-57741947_hoved.jpg
** EXKLUSIVE 3-ZIMMERWOHNUNG MIT SÜDWEST-TERRASSE **,699000,70 m²,"1040 Wien, 04. Bezirk, Wieden",Mister Immo GmbH,https://cache.willhaben.at/mmo/1/380/382/421_-1499208037_hoved.jpg
QUALITY LIVING | 3-ZIMMERWOHNUNG MIT WINTERGARTEN,Preis+auf+Anfrage,88 m²,"1040 Wien, 04. Bezirk, Wieden",Mister Immo GmbH,https://cache.willhaben.at/mmo/8/380/382/448_-917839540_hoved.jpg
"NEW PRESTIGE - Exklusive, 4-Zimmer Wohnung mit Balkon und Terrasse (Exklusiver Erstbezug)",495600,159 m²,"1040 Wien, 04. Bezirk, Wieden",B2C Team Realtrade Immobilien Vermittlungs GmbH,https://cache.willhaben.at/mmo/5/380/315/335_388429238_hoved.jpg
Nähe Naschmarkt - Exklusive Altbauwohnung in revitalisiertem Biedermeierhaus,775000,64 m²,"1040 Wien, 04. Bezirk, Wieden",Galerie Immobilien GmbH,https://cache.willhaben.at/mmo/2/380/223/812_-911611328_hoved.jpg
THE RARITY - Wohnen am Theresianum!,349000,91 m²,"1040 Wien, 04. Bezirk, Wieden",WINEGG Makler GmbH,https://cache.willhaben.at/mmo/0/366/622/250_281604960_hoved.jpg
THE RARITY - Wohnen am Theresianum!,860000,40 m²,"1040 Wien, 04. Bezirk, Wieden",WINEGG Makler GmbH,https://cache.willhaben.at/mmo/7/366/622/257_423094028_hoved.jpg
THE RARITY - Wohnen am Theresianum!,999000,94 m²,"1040 Wien, 04. Bezirk, Wieden",WINEGG Makler GmbH,https://cache.willhaben.at/mmo/1/366/622/261_-561846953_hoved.jpg
THE RARITY - Wohnen am Theresianum!,795000,110 m²,"1040 Wien, 04. Bezirk, Wieden",WINEGG Makler GmbH,https://cache.willhaben.at/mmo/9/366/622/269_1251798484_hoved.jpg
THE RARITY - Wohnen am Theresianum!,630000,74 m²,"1040 Wien, 04. Bezirk, Wieden",WINEGG Makler GmbH,https://cache.willhaben.at/mmo/1/366/621/911_1251798484_hoved.jpg
THE RARITY - Wohnen am Theresianum!,1380000,54 m²,"1040 Wien, 04. Bezirk, Wieden",WINEGG Makler GmbH,https://cache.willhaben.at/mmo/9/366/621/919_-1505696102_hoved.jpg
THE RARITY - Wohnen am Theresianum!,926000,110 m²,"1040 Wien, 04. Bezirk, Wieden",WINEGG Makler GmbH,https://cache.willhaben.at/mmo/8/366/621/928_-1845565561_hoved.jpg
"Neubauerstbezug: Dachgeschosswohnung mit Dachterrasse, Loggia und 2. Terrasse in zentraler Lage",999900,93 m²,"1040 Wien, 04. Bezirk, Wieden",Mag. Koblinger Realitäten,https://cache.willhaben.at/mmo/9/380/162/639_1303177341_hoved.jpg
# ERSTBEZUG# Traumhafte Dachterrasse Maisonette! Stilvoller Altbau trifft auf modernen Dachausbau!,2390000,138 m²,"1040 Wien, 04. Bezirk, Wieden",IMMOLADIES GmbH,https://cache.willhaben.at/mmo/7/316/537/957_-795336297_hoved.jpg
"++ RARITÄT++ 192m², 5-Zimmer LUXUS-Neubauwohnung mit Terrassen! in BESTLAGE!",1490000,190 m²,"1040 Wien, 04. Bezirk, Wieden",Adonia Immobilien GmbH,https://cache.willhaben.at/mmo/7/367/606/277_-83369362_hoved.jpg
"""TAUBSTUMMENGASSE Leben im attraktiven Botschaftsviertel""",549000,75 m²,"1040 Wien, 04. Bezirk, Wieden",RE/MAX Donau-City-Immobilien,https://cache.willhaben.at/mmo/5/380/039/575_-588647296_hoved.jpg
Zentrumsnaher Singel- oder Pärchentraum,320000,60 m²,"1040 Wien, 04. Bezirk, Wieden",,https://cache.willhaben.at/mmo/9/379/993/769_-104995677_hoved.jpg
THE RARITY - Wohnen am Theresianum!,715000,89 m²,"1040 Wien, 04. Bezirk, Wieden",WINEGG Makler GmbH,https://cache.willhaben.at/mmo/1/366/622/241_281604960_hoved.jpg
THE RARITY - Wohnen am Theresianum!,690000,62 m²,"1040 Wien, 04. Bezirk, Wieden",WINEGG Makler GmbH,https://cache.willhaben.at/mmo/1/366/622/271_-1505696102_hoved.jpg
Schnäppchenpreis 3.600 EUR/ m2!! TOP als Anlage! 4-Zimmer Neubauwohnung plus 2 Garagenplätze in hervorragender Lage!! ++,399000,125 m²,"1050 Wien, 05. Bezirk, Margareten",gb-direkt Finanzberatung & Immobilienhandel GmbH,https://cache.willhaben.at/mmo/0/380/598/300_-1904808278_hoved.jpg
FRANZENSGASSE | 3-Zimmer-Küche-Neubauwohnung (BJ 1971) | U4 Kettenbrückengasse,245000,79 m²,"1050 Wien, 05. Bezirk, Margareten",MMI Mario Molnar Immobilienberatung,https://cache.willhaben.at/mmo/0/380/565/950_997192234_hoved.jpg
ANLEGER ACHTUNG ! - gut vermietete 3-Zimmer-Wohnung mit BALKON,1900000,60 m²,"1050 Wien, 05. Bezirk, Margareten",artedomus. e.U.,https://cache.willhaben.at/mmo/9/380/537/729_-207004584_hoved.jpg
Beeindruckendes Penthouse mit extravaganter Ausstattung in Zentrumsnähe,449000,237 m²,"1050 Wien, 05. Bezirk, Margareten",Marschall Immobilien GmbH,https://cache.willhaben.at/mmo/4/323/613/674_-133439153_hoved.jpg
Moderne 4-Zimmer Neubauwohnung im 4. Liftstock plus 2 Garagenplätze,599000,120 m²,"1050 Wien, 05. Bezirk, Margareten",Akkadia Immobilienvermittlungs GmbH,https://cache.willhaben.at/mmo/3/380/521/493_-1569918263_hoved.jpg
"DIREKT 4. BEZ: 24 m² TERRASSE + 10m² LOGGIA, SONNIGE ALTBAUWOHNUNG, TOPZUSTAND, SCHÖNES STILHAUS, BEGRÜNTER INNENHOF, BEIM NASCHMARKT",2498000,71 m²,"1050 Wien, 05. Bezirk, Margareten",H.S. Immomakler,https://cache.willhaben.at/mmo/1/380/504/551_-1974931612_hoved.jpg
3909 - Wunderschöne Maisonette in Grünhofruhelage,630000,287 m²,"1050 Wien, 05. Bezirk, Margareten",Birnleitner Immobilien GmbH.,https://cache.willhaben.at/mmo/7/361/851/857_741073475_hoved.jpg
RARITÄT: Altbauwohnung mit Terrasse in Toplage Nähe Naschmarkt,429000,99 m²,"1050 Wien, 05. Bezirk, Margareten",WINEGG Makler GmbH,https://cache.willhaben.at/mmo/9/338/355/429_-1566578252_hoved.jpg
5./4. Bez.. BEZ - LETZTER LIFTSTOCK SONNENBALKON TOPZUSTAND - HERRLICHES STILHAUS,599000.02,60 m²,"1050 Wien, 05. Bezirk, Margareten",H.S. Immomakler,https://cache.willhaben.at/mmo/8/380/377/258_-787485295_hoved.jpg
Direkt 4. Bez. - ERSTBEZUG GROSSER BALKON 4. LIFTSTOCK SÜD-WEST HERRLICHES STILHAUS - SCHLÜSSELFERTIG,579000.01,87 m²,"1050 Wien, 05. Bezirk, Margareten",H.S. Immomakler,https://cache.willhaben.at/mmo/9/380/368/879_1884222725_hoved.jpg
"FAST 4. Bez. SONNIGER ERSTBEZUG BALKON BEGRÜNTE RUHIGE HOFLAGE, HERRLICHES STILHAUS - SCHLÜSSELFERTIG",429000,88 m²,"1050 Wien, 05. Bezirk, Margareten",H.S. Immomakler,https://cache.willhaben.at/mmo/2/380/368/882_-286920894_hoved.jpg
Schöne Altbauwohnung mit Balkon in Top-Lage!,649000,62 m²,"1050 Wien, 05. Bezirk, Margareten",WINEGG Makler GmbH,https://cache.willhaben.at/mmo/5/366/334/645_-1099566646_hoved.jpg
EINZIGARTIGES NEUBAU JUWEL MIT LOGGIA,439000.02,109 m²,"1050 Wien, 05. Bezirk, Margareten",Loft24 TM GmbH,https://cache.willhaben.at/mmo/1/380/342/831_-1665607419_hoved.jpg
17m² BALKON - Erstbezug BEGRÜNTE HOFLAGE HERRLICHES STILHAUS - 2. ETAGE SCHLÜSSELFERTIG,328000,60 m²,"1050 Wien, 05. Bezirk, Margareten",H.S. Immomakler,https://cache.willhaben.at/mmo/4/380/327/434_-1179387389_hoved.jpg
"Appartement, tlw. Grünblick, 2 Zimmer+ Nr, 64m², Topzustand, zentrale Lage",649000,64 m²,"1050 Wien, 05. Bezirk, Margareten",H.S. Immomakler,https://cache.willhaben.at/mmo/3/380/318/853_-1400904879_hoved.jpg
